ID,Title,Title (AL),Product URL,Short Description,Short Description (AL),Description,Description (AL),Product Status,Product Type,Variations Count,Brand,Categories,Collections,Groups,SKU,Article No,Additional Code,Price,Price (ALL),Price (EUR),Sale Price,Sale Price (ALL),Sale Price (EUR),Sale Discount %,Enable Stock,Stock Quantity,Low Stock Threshold,Stock Status,Allow Back Order,Featured,Best Seller,Product Tags,Tags,Menu Order,Allow Customer Review,Enable Low Stock Alert,Image Path,Created At,Updated At
692b6c5363c1df28cbc71120,Plastic octagonal vase,Plastic octagonal vase,plastic-octagonal-vase,High quality plastic octagonal vase,High quality plastic octagonal vase,<p>Plastic octagonal vase. Quality product for your kitchen and home</p>,<p>Plastic octagonal vase. Quality product for your kitchen and home</p>,1,single,0,,Home decor,,,2162000034,ART-2162000034,,23,23,0.23,,,,,Yes,60,,,No,No,No,"home-decor,decor",home-decor; decor,0,Yes,No,,2025-11-29T21:57:39.303Z,2026-01-08T20:23:43.384Z
692b6c5163c1df28cbc71115,Diamond frosted flower vase,Diamond frosted flower vase,diamond-frosted-flower-vase,High quality diamond frosted flower vase,,Diamond frosted flower vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,60849,ART-60849,,19,19,0.20120482,,,,,Yes,72,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:37.987Z,2025-12-01T12:17:13.019Z
692b6c5063c1df28cbc71105,78M diamond vase,78M diamond vase,78m-diamond-vase,High quality 78m diamond vase,,78M diamond vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,603040064,ART-603040064,,298,298,3.08554217,,,,,Yes,24,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:36.668Z,2025-11-29T23:37:38.037Z
692b6c4f63c1df28cbc710fa,Round reed vase,Round reed vase,round-reed-vase,High quality round reed vase,,Round reed vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,603040036,ART-603040036,,221,221,2.29277108,,,,,Yes,15,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:35.351Z,2025-11-29T23:37:38.037Z
692b6c4e63c1df28cbc710ea,117M vase,117M vase,117m-vase,High quality 117m vase,,117M vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,16030011,ART-16030011,,116,116,1.20120482,,,,,Yes,48,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:34.036Z,2026-01-05T10:20:48.671Z
692b6c4c63c1df28cbc710df,8508B vase,8508B vase,8508b-vase,High quality 8508b vase,,8508B vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,16030008,ART-16030008,,244,244,2.52650602,,,,,Yes,24,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:32.703Z,2026-01-03T07:07:57.901Z
692b6c4b63c1df28cbc710cf,8586D vase,8586D vase,8586d-vase,High quality 8586d vase,,8586D vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,16030007,ART-16030007,,116,116,1.20120482,,,,,Yes,48,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:31.387Z,2026-01-07T06:10:30.189Z
692b6c4a63c1df28cbc710c4,8503B vase,8503B vase,8503b-vase,High quality 8503b vase,,8503B vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,16030002,ART-16030002,,241,241,2.49879518,,,,,Yes,24,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:30.072Z,2026-01-03T05:26:53.992Z
692b6c4863c1df28cbc710b9,8586C vase,8586C vase,8586c-vase,High quality 8586c vase,,8586C vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,16030006,ART-16030006,,185,185,1.91084337,,,,,Yes,24,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:28.756Z,2026-01-03T06:41:28.162Z
692b6c4763c1df28cbc710ae,8508C vase,8508C vase,8508c-vase,High quality 8508c vase,,8508C vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,16030009,ART-16030009,,185,185,1.91084337,,,,,Yes,24,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:27.441Z,2026-01-03T06:01:06.723Z
692b6c4663c1df28cbc7109e,308B sand glaze vase,308B sand glaze vase,308b-sand-glaze-vase,High quality 308b sand glaze vase,,308B sand glaze vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,603040055,ART-603040055,,241,241,2.49879518,,,,,Yes,18,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:26.125Z,2025-11-29T23:37:38.037Z
692b6c4463c1df28cbc7108e,204A wavy vase,204A wavy vase,204a-wavy-vase,High quality 204a wavy vase,,204A wavy vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,603040043,ART-603040043,,181,181,1.86987952,,,,,Yes,24,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:24.766Z,2025-11-29T23:37:38.037Z
692b6c4363c1df28cbc71074,8503D vase,8503D vase,8503d-vase,High quality 8503d vase,,8503D vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,16030004,ART-16030004,,116,116,1.20120482,,,,,Yes,48,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:23.431Z,2025-11-29T23:37:38.037Z
692b6c4263c1df28cbc7105a,370C sand glaze vase,370C sand glaze vase,370c-sand-glaze-vase,High quality 370c sand glaze vase,,370C sand glaze vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,603040054,ART-603040054,,136,136,1.4060241,,,,,Yes,36,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:22.115Z,2025-11-29T23:37:38.037Z
692b6c4063c1df28cbc7104f,8508D vase,8508D vase,8508d-vase,High quality 8508d vase,,8508D vase. Quality product for your kitchen and home.,,1,single,0,,Home decor,,,16030010,ART-16030010,,116,116,1.20120482,,,,,Yes,48,,,No,No,No,home-decor,,0,Yes,No,,2025-11-29T21:57:20.800Z,2025-11-29T23:37:38.037Z
692b6c3f63c1df28cbc7103e,Multipurpose glass bottle,Multipurpose glass bottle,multipurpose-glass-bottle,High quality multipurpose glass bottle,,Multipurpose glass bottle. Quality product for your kitchen and home.,,1,single,0,,Food Storage,,,41755,ART-41755,,19,19,0.19759036,,,,,Yes,72,,,No,No,No,food-storage,,0,Yes,No,,2025-11-29T21:57:19.484Z,2025-11-29T23:37:38.037Z
692b6c3e63c1df28cbc71026,XB-1502 640ml rectangular crisper,XB-1502 640ml rectangular crisper,xb-1502-640ml-rectangular-crisper,High quality xb-1502 640ml rectangular crisper,,XB-1502 640ml rectangular crisper. Quality product for your kitchen and home.,,1,single,0,,Food Storage,,,602040074,ART-602040074,,91,91,0.94216867,,,,,Yes,24,,,No,No,No,food-storage,,0,Yes,No,,2025-11-29T21:57:18.167Z,2025-11-29T23:37:38.037Z
692b6c3c63c1df28cbc71015,XB-1503 1.04L rectangular crisper,XB-1503 1.04L rectangular crisper,xb-1503-104l-rectangular-crisper,High quality xb-1503 1.04l rectangular crisper,,XB-1503 1.04L rectangular crisper. Quality product for your kitchen and home.,,1,single,0,,Food Storage,,,602040075,ART-602040075,,125,125,1.29759036,,,,,Yes,18,,,No,No,No,food-storage,,0,Yes,No,,2025-11-29T21:57:16.850Z,2025-11-29T23:37:38.037Z
692b6c3b63c1df28cbc7100a,XB-1209 520ml square crisper,XB-1209 520ml square crisper,xb-1209-520ml-square-crisper,High quality xb-1209 520ml square crisper,,XB-1209 520ml square crisper. Quality product for your kitchen and home.,,1,single,0,,Food Storage,,,602040071,ART-602040071,,86,86,0.88795181,,,,,Yes,24,,,No,No,No,food-storage,,0,Yes,No,,2025-11-29T21:57:15.533Z,2025-11-29T23:37:38.037Z
692b6c3a63c1df28cbc70ffa,XB-2120 divider rectangular crisper,XB-2120 divider rectangular crisper,xb-2120-divider-rectangular-crisper,High quality xb-2120 divider rectangular crisper,,XB-2120 divider rectangular crisper. Quality product for your kitchen and home.,,1,single,0,,Food Storage,,,602040061,ART-602040061,,202,202,2.08915663,,,,,Yes,12,,,No,No,No,food-storage,,0,Yes,No,,2025-11-29T21:57:14.207Z,2025-11-29T23:37:38.037Z
692b6c3863c1df28cbc70fe8,XB-1201 370ml rectangular crisper,XB-1201 370ml rectangular crisper,xb-1201-370ml-rectangular-crisper,High quality xb-1201 370ml rectangular crisper,,XB-1201 370ml rectangular crisper. Quality product for your kitchen and home.,,1,single,0,,Food Storage,,,602040064,ART-602040064,,67,67,0.69638554,,,,,Yes,24,,,No,No,No,food-storage,,0,Yes,No,,2025-11-29T21:57:12.892Z,2025-11-29T23:37:38.037Z
692b6c3763c1df28cbc70fda,XB-1507 950ml round crisper,XB-1507 950ml round crisper,xb-1507-950ml-round-crisper,High quality xb-1507 950ml round crisper,,XB-1507 950ml round crisper. Quality product for your kitchen and home.,,1,single,0,,Food Storage,,,602040078,ART-602040078,,108,108,1.11927711,,,,,Yes,18,,,No,No,No,food-storage,,0,Yes,No,,2025-11-29T21:57:11.576Z,2025-11-29T23:37:38.037Z
692b6c3663c1df28cbc70fca,XB-1510 800ml square crisper,XB-1510 800ml square crisper,xb-1510-800ml-square-crisper,High quality xb-1510 800ml square crisper,,XB-1510 800ml square crisper. Quality product for your kitchen and home.,,1,single,0,,Food Storage,,,602040081,ART-602040081,,96,96,0.99638554,,,,,Yes,18,,,No,No,No,food-storage,,0,Yes,No,,2025-11-29T21:57:10.251Z,2025-11-29T23:37:38.037Z
692b6c3463c1df28cbc70fb5,XB-1509 520ml square crisper,XB-1509 520ml square crisper,xb-1509-520ml-square-crisper,High quality xb-1509 520ml square crisper,,XB-1509 520ml square crisper. Quality product for your kitchen and home.,,1,single,0,,Food Storage,,,602040080,ART-602040080,,86,86,0.88795181,,,,,Yes,24,,,No,No,No,food-storage,,0,Yes,No,,2025-11-29T21:57:08.935Z,2025-11-29T23:37:38.037Z
692b6c3363c1df28cbc70fa0,XB-2018 divider crisper,XB-2018 divider crisper,xb-2018-divider-crisper,High quality xb-2018 divider crisper,,XB-2018 divider crisper. Quality product for your kitchen and home.,,1,single,0,,Food Storage,,,602040060,ART-602040060,,161,161,1.66626506,,,,,Yes,12,,,No,No,No,food-storage,,0,Yes,No,,2025-11-29T21:57:07.610Z,2025-11-29T23:37:38.037Z
692b6c3263c1df28cbc70f93,XB-1505 350ml round glass crisper,XB-1505 350ml round glass crisper,xb-1505-350ml-round-glass-crisper,High quality xb-1505 350ml round glass crisper,,XB-1505 350ml round glass crisper. Quality product for your kitchen and home.,,1,single,0,,Food Storage,,,602040076,ART-602040076,,67,67,0.69638554,,,,,Yes,24,,,No,No,No,food-storage,,0,Yes,No,,2025-11-29T21:57:06.294Z,2025-11-29T23:37:38.037Z
692b6c3063c1df28cbc70f85,847 glass storage tank 1350ml,847 glass storage tank 1350ml,847-glass-storage-tank-1350ml,High quality 847 glass storage tank 1350ml,,847 glass storage tank 1350ml. Quality product for your kitchen and home.,,1,single,0,,Food Storage,,,602080032,ART-602080032,,116,116,1.20120482,,,,,Yes,12,,,No,No,No,food-storage,,0,Yes,No,,2025-11-29T21:57:04.977Z,2025-11-29T23:37:38.037Z
692b6c2f63c1df28cbc70f75,846 glass storage tank 950ml,846 glass storage tank 950ml,846-glass-storage-tank-950ml,High quality 846 glass storage tank 950ml,,846 glass storage tank 950ml. Quality product for your kitchen and home.,,1,single,0,,Food Storage,,,602080031,ART-602080031,,101,101,1.05060241,,,,,Yes,24,,,No,No,No,food-storage,,0,Yes,No,,2025-11-29T21:57:03.661Z,2025-11-29T23:37:38.037Z
692b6c2e63c1df28cbc70f61,7-inch fruit plate Ink Lotus,7-inch fruit plate Ink Lotus,7-inch-fruit-plate-ink-lotus,High quality 7-inch fruit plate ink lotus,,7-inch fruit plate Ink Lotus. Quality product for your kitchen and home.,,1,single,0,,Tableware,,,1200400358,ART-1200400358,,22,22,0.22650602,,,,,Yes,70,,,No,No,No,tableware,,0,Yes,No,,2025-11-29T21:57:02.345Z,2025-11-29T23:37:38.037Z
692b6c2d63c1df28cbc70f4e,White 9-inch vertical plate,White 9-inch vertical plate,white-9-inch-vertical-plate,High quality white 9-inch vertical plate,,White 9-inch vertical plate. Quality product for your kitchen and home.,,1,single,0,,Tableware,,,1200400172,ART-1200400172,,27,27,0.27831325,,,,,Yes,40,,,No,No,No,tableware,,0,Yes,No,,2025-11-29T21:57:01.031Z,2025-11-29T23:37:38.037Z
692b6c2b63c1df28cbc70f35,White 9-inch flat plate,White 9-inch flat plate,white-9-inch-flat-plate,High quality white 9-inch flat plate,,White 9-inch flat plate. Quality product for your kitchen and home.,,1,single,0,,Tableware,,,72194,ART-72194,,19,19,0.19759036,,,,,Yes,40,,,No,No,No,tableware,,0,Yes,No,,2025-11-29T21:56:59.716Z,2025-11-29T23:37:38.037Z
692b6c2a63c1df28cbc70f2a,Printed 5-inch salad bowl Time Grey,Printed 5-inch salad bowl Time Grey,printed-5-inch-salad-bowl-time-grey,High quality printed 5-inch salad bowl time grey,,Printed 5-inch salad bowl Time Grey. Quality product for your kitchen and home.,,1,single,0,,Tableware,,,1200600169,ART-1200600169,,23,23,0.23493976,,,,,Yes,90,,,No,No,No,tableware,,0,Yes,No,,2025-11-29T21:56:58.401Z,2025-11-29T23:37:38.037Z
692b6c2963c1df28cbc70f1a,Mingxin 6-inch bucket bowl Strawberry,Mingxin 6-inch bucket bowl Strawberry,mingxin-6-inch-bucket-bowl-strawberry,High quality mingxin 6-inch bucket bowl strawberry,,Mingxin 6-inch bucket bowl Strawberry. Quality product for your kitchen and home.,,1,single,0,,Tableware,,,1200600679,ART-1200600679,,19,19,0.19759036,,,,,Yes,80,,,No,No,No,tableware,,0,Yes,No,,2025-11-29T21:56:57.085Z,2025-11-29T23:37:38.037Z
692b6c2763c1df28cbc70f0a,Mingxin 6-inch bowl White,Mingxin 6-inch bowl White,mingxin-6-inch-bowl-white,High quality mingxin 6-inch bowl white,,Mingxin 6-inch bowl White. Quality product for your kitchen and home.,,1,single,0,,Tableware,,,1200600033,ART-1200600033,,17,17,0.17228916,,,,,Yes,80,,,No,No,No,tableware,,0,Yes,No,,2025-11-29T21:56:55.720Z,2025-11-29T23:37:38.037Z
692b6c2663c1df28cbc70efa,Mingxin 8-inch bowl White,Mingxin 8-inch bowl White,mingxin-8-inch-bowl-white,High quality mingxin 8-inch bowl white,,Mingxin 8-inch bowl White. Quality product for your kitchen and home.,,1,single,0,,Tableware,,,81717,ART-81717,,23,23,0.23855422,,,,,Yes,50,,,No,No,No,tableware,,0,Yes,No,,2025-11-29T21:56:54.404Z,2025-11-29T23:37:38.037Z
692b6c2563c1df28cbc70eef,Mingxin Ruyi bowl 5.2-inch Peach,Mingxin Ruyi bowl 5.2-inch Peach,mingxin-ruyi-bowl-52-inch-peach,High quality mingxin ruyi bowl 5.2-inch peach,,Mingxin Ruyi bowl 5.2-inch Peach. Quality product for your kitchen and home.,,1,single,0,,Tableware,,,1200600677,ART-1200600677,,20,20,0.2060241,,,,,Yes,80,,,No,No,No,tableware,,0,Yes,No,,2025-11-29T21:56:53.088Z,2025-11-29T23:37:38.037Z
692b6c2363c1df28cbc70ee4,5-inch starlight bowl Happy,5-inch starlight bowl Happy,5-inch-starlight-bowl-happy,High quality 5-inch starlight bowl happy,,5-inch starlight bowl Happy. Quality product for your kitchen and home.,,1,single,0,,Tableware,,,1200600643,ART-1200600643,,22,22,0.22650602,,,,,Yes,90,,,No,No,No,tableware,,0,Yes,No,,2025-11-29T21:56:51.772Z,2025-11-29T23:37:38.037Z
